,Name,ID,Country,Cloudiness,Temperature,Latitude,Longitude,Humidity,Wind Speed
0,Ben Lomond,5327522,US,90,61.54,37.09,-122.09,87,10.29
1,Krajan,7037412,ID,24,73.39,-8.07,113.2,100,4.16
2,Giv‘at Mordekhay,294990,IL,40,61.21,31.77,35.2,87,2.24
3,Brignano Gera dAdda,3181532,IT,75,48.69,45.55,9.65,100,3.36
4,Credenhill,2652035,GB,92,42.39,52.08,-2.81,99,11.43
5,Stylida,253170,GR,20,46.4,38.92,22.62,87,3.36
6,Ovodda,3171765,IT,40,59.0,40.1,9.16,77,8.05
7,Kaele,2230599,CM,0,78.8,10.11,14.45,27,8.05
8,Monchegorsk,525404,RU,76,26.86,67.94,32.87,85,4.38
9,Ringebu,3141850,NO,24,-7.12,61.52,10.17,55,2.59
10,Capbreton,3028745,FR,0,53.04,43.64,-1.43,62,4.7
11,Ouahigouya,2357043,BF,0,72.85,13.58,-2.42,28,7.29
12,Muga de Sayago,6362573,ES,92,46.48,41.37,-6.22,100,23.85
13,São João de Fontoura,8014641,PT,90,56.46,41.1,-7.92,100,14.99
14,Longjing,1914468,CN,0,60.8,23.88,112.87,82,4.47
15,Sossen,2830899,DE,20,41.07,51.22,12.1,93,2.24
16,Schwörstadt,6555893,DE,0,36.99,47.6,7.88,93,5.82
17,Yanwang,1999718,CN,0,28.4,34.57,108.8,100,2.24
18,Mathoura,2158509,AU,8,56.34,-35.82,144.9,76,6.4
19,Chilches,2519503,ES,0,50.0,39.78,-0.19,71,6.93
20,Chaniers,3026925,FR,0,46.4,45.72,-0.56,93,9.17
21,Okocim,763351,PL,75,39.2,49.95,20.6,100,3.36
22,Tanakawu Dua,7085075,ID,75,71.6,-8.77,116.27,100,4.27
23,Gandy,4156462,US,90,78.17,27.87,-82.62,78,6.93
24,Piney,6105290,CA,90,25.66,49.08,-95.98,73,16.11
25,Zelenogorsk,1488253,RU,88,26.77,56.11,94.59,86,4.27
26,Boone County,5064432,US,75,48.51,41.7,-98.08,52,4.5
27,Manteo,4477893,US,90,61.36,35.91,-75.68,84,14.99
28,Fritzlar,2924326,DE,75,42.8,51.13,9.28,93,2.24
29,Hanno,1863183,JP,90,43.93,35.85,139.32,82,3.71
30,Kozienice,7533191,PL,92,34.51,51.59,21.54,100,2.93
31,Peralejos de las Truchas,6357985,ES,36,44.6,40.59,-1.91,87,13.22
32,Teploklyuchenka,1527232,KG,92,18.13,42.5,78.53,87,3.27
33,Buchfart,2942476,DE,40,41.0,50.92,11.33,86,8.05
34,Birsfelden,2661490,CH,0,36.57,47.55,7.62,93,5.82
35,Fairfax,4511274,US,75,53.64,39.15,-84.39,77,9.17
36,Aranyosapati,722823,HU,90,44.6,48.21,22.26,93,4.47
37,Cabanillas de la Sierra,3127268,ES,20,41.0,40.82,-3.62,100,1.12
38,Sadali,2523562,IT,20,59.0,39.81,9.27,93,2.24
39,Zhiguang,7065614,CN,92,48.6,28.36,117.08,89,2.15
40,Pujalt,6356201,ES,0,46.4,41.71,1.46,81,2.24
41,Aydius,6450417,FR,0,39.16,43.0,-0.54,80,3.49
42,Paris 20 Ménilmontant,2994540,FR,75,42.28,48.86,2.4,93,3.36
43,Pretoria-Wes,964132,ZA,12,68.85,-25.75,28.16,56,8.05
44,Mirabel,6075061,CA,75,32.79,45.65,-74.08,68,3.36
45,Tambakbayan,7037952,ID,56,71.64,-8.27,114.24,100,1.48
46,Saint-Romain-Lachalm,2977132,FR,0,39.42,45.27,4.33,86,3.36
47,Nishigochō,1855309,JP,8,17.14,36.65,138.18,76,1.81
48,Kamenec,6461356,BG,20,35.6,42.33,26.73,100,8.05
49,Arrondissement de Bar-le-Duc,3034910,FR,90,44.6,48.75,5.17,93,3.36
50,Nayudupeta,1261567,IN,0,71.64,13.9,79.9,95,2.93
51,Miremont,6431686,FR,0,44.6,43.37,1.42,70,5.82
52,Santa Cruz de Mudela,6357171,ES,68,38.2,38.63,-3.49,89,5.28
53,Tupper Lake,5141580,US,90,40.24,44.22,-74.46,88,9.17
54,Algenrodt,2958513,DE,90,41.38,49.72,7.28,93,4.5
55,Randazzo,6539201,IT,75,64.02,37.88,14.95,88,2.24
56,Cindré,3024944,FR,0,38.21,46.33,3.57,86,4.7
57,Bikenibeu Village,7601774,KI,75,86.0,1.37,173.12,70,1.12
58,Dunhuang,1529531,CN,0,21.24,40.17,94.68,62,3.15
59,Gaustritz,2922231,DE,40,42.8,50.98,13.76,81,4.7
60,Ostashino,6609669,RU,90,30.2,56.61,42.96,80,11.18
61,Saint-Cyprien,2980980,FR,0,41.22,45.53,4.23,86,3.36
